,adminRights,constrainedDelegation,controllables,controllers,dcomRights,gpos,groupMembership,admincount,description,distinguishedname,doesanyacegrantownerrights,doesanyinheritedacegrantownerrights,domain,domainsid,dontreqpreauth,enabled,encryptedtextpwdallowed,hasspn,isaclprotected,lastlogon,lastlogontimestamp,lastseen,lockedout,logonscriptenabled,name,objectid,passwordcantchange,passwordexpired,passwordnotreqd,pwdlastset,pwdneverexpires,samaccountname,sensitive,serviceprincipalnames,sidhistory,smartcardrequired,system_tags,trustedtoauth,unconstraineddelegation,usedeskeyonly,useraccountcontrol,whencreated,psRemoteRights,rdpRights,sessions,sqlAdmin,admin_tier_0,path_da_nnodes,path_da_nedges,path_da_nodes,path_da_edges,path_da_nodes_oidlist,supportedencryptiontypes,displayname,objectID,error,controllables_norm,controllers_norm,path_da_nedges_norm,sessions_norm,n_in_path_da,n_in_path_da_norm,control_risk,control_risk_norm,control_risk_norm_100,control_risk_100
0,1.0,0.0,3572.0,7.0,0.0,0.0,49.0,True,Built-in account for administering the computer/domain,"CN=LUIS,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,True,False,False,True,1742158351.0,1742158345.0,2025-03-16T21:35:40.117Z,False,False,LUIS@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-500,False,False,False,1742132135.0,False,luis,False,[],[],False,admin_tier_0,False,False,False,512.0,1742158052.0,0.0,0.0,0.0,0.0,True,2.0,1.0,"                         label   kind  \
id                                      
128  DOMAIN ADMINS@MYLAB.LOCAL  Group   
130           LUIS@MYLAB.LOCAL   User   

                                         objectId  isTierZero  isOwnedObject  \
id                                                                             
128  S-1-5-21-1333368235-828418111-1849936505-512        True          False   
130  S-1-5-21-1333368235-828418111-1849936505-500        True          False   

                     lastSeen  
id                             
128  2025-03-16T21:35:40.428Z  
130  2025-03-16T21:35:40.117Z  ","  source target     label      kind                       lastSeen
0    130    128  MemberOf  MemberOf  2025-03-16T21:35:36.88777499Z","['S-1-5-21-1333368235-828418111-1849936505-512'
 'S-1-5-21-1333368235-828418111-1849936505-500']",,,,,1.0,0.0,0.02,1.0,1.0,0.001402524544179523,3581.0,2.02140252454418,0.06811268252062998,0.39300600758136134
1,0.0,0.0,3362.0,207.0,0.0,0.0,11.0,False,Built-in account for guest access to the computer/domain,"CN=GUEST,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,False,False,False,False,0.0,-1.0,2025-03-16T21:35:40.117Z,False,False,GUEST@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-501,False,False,True,0.0,True,Guest,False,[],[],False,,False,False,False,66082.0,1742158052.0,0.0,0.0,0.0,0.0,False,6.0,7.0,"                             label       kind  \
id                                              
1002             USERS@MYLAB.LOCAL  Container   
1019       LOUIS_TYLER@MYLAB.LOCAL       User   
128      DOMAIN ADMINS@MYLAB.LOCAL      Group   
131              GUEST@MYLAB.LOCAL       User   
477      JENNA_HARDING@MYLAB.LOCAL       User   
872   RO-ARJ-DISTLIST1@MYLAB.LOCAL      Group   

                                           objectId  isTierZero  \
id                                                                
1002           643CE9DD-6D50-4B82-8DA1-994C82A16D6C       False   
1019  S-1-5-21-1333368235-828418111-1849936505-3276        True   
128    S-1-5-21-1333368235-828418111-1849936505-512        True   
131    S-1-5-21-1333368235-828418111-1849936505-501       False   
477   S-1-5-21-1333368235-828418111-1849936505-1447        True   
872   S-1-5-21-1333368235-828418111-1849936505-3635       False   

      isOwnedObject                        lastSeen  
id                                                   
1002          False        2025-03-16T21:35:40.053Z  
1019          False        2025-03-16T21:35:40.117Z  
128           False        2025-03-16T21:35:40.428Z  
131           False        2025-03-16T21:35:40.117Z  
477           False  2025-03-16T21:35:31.048103438Z  
872           False        2025-03-16T21:35:39.799Z  ","  source target       label        kind                        lastSeen
0    131    872    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
1    872    477  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z
2    477    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
3    872   1002  GenericAll  GenericAll  2025-03-16T21:35:38.232994191Z
4   1002    128    Contains    Contains   2025-03-16T21:35:36.88777499Z
5    872   1019  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
6   1019    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z","['643CE9DD-6D50-4B82-8DA1-994C82A16D6C'
 'S-1-5-21-1333368235-828418111-1849936505-3276'
 'S-1-5-21-1333368235-828418111-1849936505-512'
 'S-1-5-21-1333368235-828418111-1849936505-501'
 'S-1-5-21-1333368235-828418111-1849936505-1447'
 'S-1-5-21-1333368235-828418111-1849936505-3635']",,,,,0.9412094064949608,0.468384074941452,0.14,1.0,1.0,0.001402524544179523,3577.0,2.5509960059805925,0.08595773427458861,0.3925670173466991
2,0.0,0.0,0.0,8.0,0.0,0.0,6.0,True,Key Distribution Center Service Account,"CN=KRBTGT,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,False,False,True,True,0.0,-1.0,2025-03-16T21:35:40.117Z,False,False,KRBTGT@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-502,False,False,False,1742158089.0,False,krbtgt,False,['kadmin/changepw'],[],False,,False,False,False,514.0,1742158089.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],['Not defined'],,,,0.0,0.00234192037470726,0.0,1.0,0.0,0.0,8.0,1.0023419203747073,0.033774666930821304,0.0008779804693244599
3,1.0,0.0,3570.0,7.0,0.0,0.0,31.0,True,,"CN=MARIA,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,True,False,False,True,0.0,-1.0,2025-03-16T21:35:40.117Z,False,False,MARIA@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-1103,False,False,False,1742158502.0,True,maria,False,[],[],False,admin_tier_0,False,False,False,66048.0,1742158502.0,0.0,0.0,0.0,0.0,True,2.0,1.0,"                         label   kind  \
id                                      
128  DOMAIN ADMINS@MYLAB.LOCAL  Group   
133          MARIA@MYLAB.LOCAL   User   

                                          objectId  isTierZero  isOwnedObject  \
id                                                                              
128   S-1-5-21-1333368235-828418111-1849936505-512        True          False   
133  S-1-5-21-1333368235-828418111-1849936505-1103        True          False   

                     lastSeen  
id                             
128  2025-03-16T21:35:40.428Z  
133  2025-03-16T21:35:40.117Z  ","  source target     label      kind                       lastSeen
0    133    128  MemberOf  MemberOf  2025-03-16T21:35:36.88777499Z","['S-1-5-21-1333368235-828418111-1849936505-512'
 'S-1-5-21-1333368235-828418111-1849936505-1103']",,Maria,,,0.9994400895856663,0.0,0.02,1.0,1.0,0.001402524544179523,3579.0,2.0208426141298457,0.06809381591695829,0.39278651246403024
4,0.0,0.0,55.0,210.0,0.0,1.0,29.0,False,Created with secframe.com/badblood.,"CN=LEONOR_BUTLER,OU=SERVICEACCOUNTS,OU=FSR,OU=TIER 1,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,True,False,True,False,0.0,-1.0,2025-03-16T21:35:40.117Z,False,False,LEONOR_BUTLER@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-1104,False,False,False,1742158754.0,False,LEONOR_BUTLER,False,['POP3/SECWLPT1000001'],[],False,,False,False,False,512.0,1742158753.0,0.0,0.0,0.0,0.0,False,20.0,34.0,"                                     label       kind  \
id                                                      
0               ADMINISTRATORS@MYLAB.LOCAL      Group   
1002                     USERS@MYLAB.LOCAL  Container   
1019               LOUIS_TYLER@MYLAB.LOCAL       User   
1023              ANDREA_TYLER@MYLAB.LOCAL       User   
1207              VERA_BUCKLEY@MYLAB.LOCAL       User   
128              DOMAIN ADMINS@MYLAB.LOCAL      Group   
134              LEONOR_BUTLER@MYLAB.LOCAL       User   
2865          JO-ACU-DISTLIST1@MYLAB.LOCAL      Group   
2985          LI-ANG-DISTLIST1@MYLAB.LOCAL      Group   
3075    LU-CONYMARIN-DISTLIST1@MYLAB.LOCAL      Group   
3116  KA-ELSEXOESR-ADMINGROUP1@MYLAB.LOCAL      Group   
3272    JO-PIPOMORRI-DISTLIST1@MYLAB.LOCAL      Group   
477              JENNA_HARDING@MYLAB.LOCAL       User   
869           DA-EST-DISTLIST1@MYLAB.LOCAL      Group   
870           DE-DAS-DISTLIST1@MYLAB.LOCAL      Group   
871     MA-VACACIONE-DISTLIST1@MYLAB.LOCAL      Group   
872           RO-ARJ-DISTLIST1@MYLAB.LOCAL      Group   
877           TA-24D-DISTLIST1@MYLAB.LOCAL      Group   
889           PA-COM-DISTLIST1@MYLAB.LOCAL      Group   
895           WA-ESA-DISTLIST1@MYLAB.LOCAL      Group   

                                           objectId  isTierZero  \
id                                                                
0                          MYLAB.LOCAL-S-1-5-32-544        True   
1002           643CE9DD-6D50-4B82-8DA1-994C82A16D6C       False   
1019  S-1-5-21-1333368235-828418111-1849936505-3276        True   
1023  S-1-5-21-1333368235-828418111-1849936505-2378        True   
1207  S-1-5-21-1333368235-828418111-1849936505-1840       False   
128    S-1-5-21-1333368235-828418111-1849936505-512        True   
134   S-1-5-21-1333368235-828418111-1849936505-1104       False   
2865  S-1-5-21-1333368235-828418111-1849936505-3618       False   
2985  S-1-5-21-1333368235-828418111-1849936505-3743       False   
3075  S-1-5-21-1333368235-828418111-1849936505-3841       False   
3116  S-1-5-21-1333368235-828418111-1849936505-3884       False   
3272  S-1-5-21-1333368235-828418111-1849936505-4027       False   
477   S-1-5-21-1333368235-828418111-1849936505-1447        True   
869   S-1-5-21-1333368235-828418111-1849936505-3782       False   
870   S-1-5-21-1333368235-828418111-1849936505-3600       False   
871   S-1-5-21-1333368235-828418111-1849936505-3890       False   
872   S-1-5-21-1333368235-828418111-1849936505-3635       False   
877   S-1-5-21-1333368235-828418111-1849936505-4033       False   
889   S-1-5-21-1333368235-828418111-1849936505-3962       False   
895   S-1-5-21-1333368235-828418111-1849936505-3764       False   

      isOwnedObject                        lastSeen  
id                                                   
0             False        2025-03-16T21:35:40.441Z  
1002          False        2025-03-16T21:35:40.053Z  
1019          False        2025-03-16T21:35:40.117Z  
1023          False        2025-03-16T21:35:40.117Z  
1207          False        2025-03-16T21:35:40.117Z  
128           False        2025-03-16T21:35:40.428Z  
134           False        2025-03-16T21:35:40.117Z  
2865          False        2025-03-16T21:35:40.097Z  
2985          False        2025-03-16T21:35:40.097Z  
3075          False        2025-03-16T21:35:40.097Z  
3116          False  2025-03-16T21:35:36.886857315Z  
3272          False        2025-03-16T21:35:40.428Z  
477           False  2025-03-16T21:35:31.048103438Z  
869           False        2025-03-16T21:35:39.799Z  
870           False        2025-03-16T21:35:39.799Z  
871           False        2025-03-16T21:35:39.799Z  
872           False        2025-03-16T21:35:39.799Z  
877           False        2025-03-16T21:35:40.428Z  
889           False        2025-03-16T21:35:39.799Z  
895           False        2025-03-16T21:35:40.097Z  ","   source target         label          kind                        lastSeen
0     134   3116      MemberOf      MemberOf   2025-03-16T21:35:36.88777499Z
1    3116   3075      MemberOf      MemberOf   2025-03-16T21:35:36.88777499Z
2    3075   3272      MemberOf      MemberOf   2025-03-16T21:35:36.88777499Z
3    3272    889    GenericAll    GenericAll   2025-03-16T21:35:36.88777499Z
4     889    872    GenericAll    GenericAll   2025-03-16T21:35:36.88777499Z
5     872   1002    GenericAll    GenericAll  2025-03-16T21:35:38.232994191Z
6    1002    128      Contains      Contains   2025-03-16T21:35:36.88777499Z
7     889   1023    GenericAll    GenericAll  2025-03-16T21:35:34.829357333Z
8    1023      0      MemberOf      MemberOf  2025-03-16T21:35:38.201365484Z
9       0    128  GenericWrite  GenericWrite   2025-03-16T21:35:36.88777499Z
10    889    869    GenericAll    GenericAll   2025-03-16T21:35:36.88777499Z
11    869   1019    GenericAll    GenericAll  2025-03-16T21:35:35.889597893Z
12   1019    128      MemberOf      MemberOf   2025-03-16T21:35:36.88777499Z
13    889    870    GenericAll    GenericAll   2025-03-16T21:35:36.88777499Z
14    870    477    GenericAll    GenericAll  2025-03-16T21:35:31.049135433Z
15    477    128      MemberOf      MemberOf   2025-03-16T21:35:36.88777499Z
16      0    128    WriteOwner    WriteOwner   2025-03-16T21:35:36.88777499Z
17    889    871    GenericAll    GenericAll   2025-03-16T21:35:36.88777499Z
18    871    477    GenericAll    GenericAll  2025-03-16T21:35:31.049135433Z
19    872   1019    GenericAll    GenericAll  2025-03-16T21:35:35.889597893Z
20    871   1002    GenericAll    GenericAll  2025-03-16T21:35:38.232994191Z
21    134   2985      MemberOf      MemberOf   2025-03-16T21:35:36.88777499Z
22   2985   2865      MemberOf      MemberOf   2025-03-16T21:35:36.88777499Z
23   2865    895      MemberOf      MemberOf   2025-03-16T21:35:36.88777499Z
24    895   1207    GenericAll    GenericAll  2025-03-16T21:35:31.203879153Z
25   1207    872      MemberOf      MemberOf   2025-03-16T21:35:36.88777499Z
26    870   1002    GenericAll    GenericAll  2025-03-16T21:35:38.232994191Z
27    870   1019    GenericAll    GenericAll  2025-03-16T21:35:35.889597893Z
28    871   1019    GenericAll    GenericAll  2025-03-16T21:35:35.889597893Z
29    889    877    GenericAll    GenericAll   2025-03-16T21:35:36.88777499Z
30    877   1019    GenericAll    GenericAll  2025-03-16T21:35:35.889597893Z
31    872    477    GenericAll    GenericAll  2025-03-16T21:35:31.049135433Z
32      0    128     WriteDacl     WriteDacl   2025-03-16T21:35:36.88777499Z
33    869    477    GenericAll    GenericAll  2025-03-16T21:35:31.049135433Z","['MYLAB.LOCAL-S-1-5-32-544' '643CE9DD-6D50-4B82-8DA1-994C82A16D6C'
 'S-1-5-21-1333368235-828418111-1849936505-3276'
 'S-1-5-21-1333368235-828418111-1849936505-2378'
 'S-1-5-21-1333368235-828418111-1849936505-1840'
 'S-1-5-21-1333368235-828418111-1849936505-512'
 'S-1-5-21-1333368235-828418111-1849936505-1104'
 'S-1-5-21-1333368235-828418111-1849936505-3618'
 'S-1-5-21-1333368235-828418111-1849936505-3743'
 'S-1-5-21-1333368235-828418111-1849936505-3841'
 'S-1-5-21-1333368235-828418111-1849936505-3884'
 'S-1-5-21-1333368235-828418111-1849936505-4027'
 'S-1-5-21-1333368235-828418111-1849936505-1447'
 'S-1-5-21-1333368235-828418111-1849936505-3782'
 'S-1-5-21-1333368235-828418111-1849936505-3600'
 'S-1-5-21-1333368235-828418111-1849936505-3890'
 'S-1-5-21-1333368235-828418111-1849936505-3635'
 'S-1-5-21-1333368235-828418111-1849936505-4033'
 'S-1-5-21-1333368235-828418111-1849936505-3962'
 'S-1-5-21-1333368235-828418111-1849936505-3764']",,LEONOR_BUTLER,,,0.015397536394176932,0.47540983606557374,0.68,1.0,1.0,0.001402524544179523,300.0,2.1722098970039303,0.07319425066819013,0.03292426759966725
5,0.0,0.0,99.0,265.0,0.0,1.0,27.0,False,Created with secframe.com/badblood.,"CN=KRISTIN_CRUZ,OU=AZR,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,True,False,False,False,0.0,-1.0,2025-03-16T21:35:40.117Z,False,False,KRISTIN_CRUZ@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-1105,False,False,False,1742158754.0,False,KRISTIN_CRUZ,False,[],[],False,,False,False,False,512.0,1742158754.0,0.0,0.0,0.0,0.0,False,17.0,26.0,"                                   label       kind  \
id                                                    
1002                   USERS@MYLAB.LOCAL  Container   
1019             LOUIS_TYLER@MYLAB.LOCAL       User   
128            DOMAIN ADMINS@MYLAB.LOCAL      Group   
135             KRISTIN_CRUZ@MYLAB.LOCAL       User   
2449             KELLY_BARRY@MYLAB.LOCAL       User   
248           CARMEN_HAWKINS@MYLAB.LOCAL       User   
3023        LE-CHE-DISTLIST1@MYLAB.LOCAL      Group   
3196  AB-180389141-DISTLIST1@MYLAB.LOCAL      Group   
323             3579637267SA@MYLAB.LOCAL       User   
406          CHRISTIE_WILSON@MYLAB.LOCAL       User   
477            JENNA_HARDING@MYLAB.LOCAL       User   
869         DA-EST-DISTLIST1@MYLAB.LOCAL      Group   
870         DE-DAS-DISTLIST1@MYLAB.LOCAL      Group   
872         RO-ARJ-DISTLIST1@MYLAB.LOCAL      Group   
877         TA-24D-DISTLIST1@MYLAB.LOCAL      Group   
879       JA-CUC-ADMINGROUP1@MYLAB.LOCAL      Group   
885         AU-JAS-DISTLIST1@MYLAB.LOCAL      Group   

                                           objectId  isTierZero  \
id                                                                
1002           643CE9DD-6D50-4B82-8DA1-994C82A16D6C       False   
1019  S-1-5-21-1333368235-828418111-1849936505-3276        True   
128    S-1-5-21-1333368235-828418111-1849936505-512        True   
135   S-1-5-21-1333368235-828418111-1849936505-1105       False   
2449  S-1-5-21-1333368235-828418111-1849936505-3133       False   
248   S-1-5-21-1333368235-828418111-1849936505-1218       False   
3023  S-1-5-21-1333368235-828418111-1849936505-3786       False   
3196  S-1-5-21-1333368235-828418111-1849936505-3974       False   
323   S-1-5-21-1333368235-828418111-1849936505-1293       False   
406   S-1-5-21-1333368235-828418111-1849936505-1376       False   
477   S-1-5-21-1333368235-828418111-1849936505-1447        True   
869   S-1-5-21-1333368235-828418111-1849936505-3782       False   
870   S-1-5-21-1333368235-828418111-1849936505-3600       False   
872   S-1-5-21-1333368235-828418111-1849936505-3635       False   
877   S-1-5-21-1333368235-828418111-1849936505-4033       False   
879   S-1-5-21-1333368235-828418111-1849936505-3831       False   
885   S-1-5-21-1333368235-828418111-1849936505-3810       False   

      isOwnedObject                        lastSeen  
id                                                   
1002          False        2025-03-16T21:35:40.053Z  
1019          False        2025-03-16T21:35:40.117Z  
128           False        2025-03-16T21:35:40.428Z  
135           False        2025-03-16T21:35:40.117Z  
2449          False        2025-03-16T21:35:40.117Z  
248           False        2025-03-16T21:35:40.117Z  
3023          False  2025-03-16T21:35:36.886857315Z  
3196          False  2025-03-16T21:35:36.886857315Z  
323           False        2025-03-16T21:35:40.117Z  
406           False        2025-03-16T21:35:40.117Z  
477           False  2025-03-16T21:35:31.048103438Z  
869           False        2025-03-16T21:35:39.799Z  
870           False        2025-03-16T21:35:39.799Z  
872           False        2025-03-16T21:35:39.799Z  
877           False        2025-03-16T21:35:40.428Z  
879           False  2025-03-16T21:35:36.886857315Z  
885           False        2025-03-16T21:35:39.799Z  ","   source target       label        kind                        lastSeen
0     135   3196    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
1    3196    885    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
2     885    323  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z
3     323    870  GenericAll  GenericAll   2025-03-16T21:35:36.88777499Z
4     870   1002  GenericAll  GenericAll  2025-03-16T21:35:38.232994191Z
5    1002    128    Contains    Contains   2025-03-16T21:35:36.88777499Z
6     135   3023    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
7    3023    879    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
8     879    406  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z
9     406    872    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
10    872    477  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z
11    477    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
12    872   1019  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
13   1019    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
14    872   1002  GenericAll  GenericAll  2025-03-16T21:35:38.232994191Z
15    885    248  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z
16    248    870    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
17    870   1019  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
18    870    477  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z
19    323    869  GenericAll  GenericAll   2025-03-16T21:35:36.88777499Z
20    869   1019  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
21    323    877  GenericAll  GenericAll   2025-03-16T21:35:36.88777499Z
22    877   1019  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
23    879   2449  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
24   2449    869    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
25    869    477  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z","['643CE9DD-6D50-4B82-8DA1-994C82A16D6C'
 'S-1-5-21-1333368235-828418111-1849936505-3276'
 'S-1-5-21-1333368235-828418111-1849936505-512'
 'S-1-5-21-1333368235-828418111-1849936505-1105'
 'S-1-5-21-1333368235-828418111-1849936505-3133'
 'S-1-5-21-1333368235-828418111-1849936505-1218'
 'S-1-5-21-1333368235-828418111-1849936505-3786'
 'S-1-5-21-1333368235-828418111-1849936505-3974'
 'S-1-5-21-1333368235-828418111-1849936505-1293'
 'S-1-5-21-1333368235-828418111-1849936505-1376'
 'S-1-5-21-1333368235-828418111-1849936505-1447'
 'S-1-5-21-1333368235-828418111-1849936505-3782'
 'S-1-5-21-1333368235-828418111-1849936505-3600'
 'S-1-5-21-1333368235-828418111-1849936505-3635'
 'S-1-5-21-1333368235-828418111-1849936505-4033'
 'S-1-5-21-1333368235-828418111-1849936505-3831'
 'S-1-5-21-1333368235-828418111-1849936505-3810']",,KRISTIN_CRUZ,,,0.027715565509518477,0.6042154566744731,0.52,1.0,1.0,0.001402524544179523,391.0,2.153333546728171,0.07255819780990505,0.04291129543823298
6,0.0,0.0,152.0,288.0,0.0,1.0,13.0,False,Created with secframe.com/badblood.,"CN=ROMEO_VELAZQUEZ,OU=DEVICES,OU=AZR,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,True,False,False,False,0.0,-1.0,2025-03-16T21:35:40.117Z,False,False,ROMEO_VELAZQUEZ@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-1106,False,False,False,1742158754.0,False,ROMEO_VELAZQUEZ,False,[],[],False,,False,False,False,512.0,1742158754.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],,ROMEO_VELAZQUEZ,,,0.0425531914893617,0.65807962529274,0.0,1.0,0.0,0.0,440.0,1.7006328167821017,0.05730410530666788,0.048288925812845294
9,0.0,0.0,0.0,233.0,0.0,1.0,5.0,False,Created with secframe.com/badblood.,"CN=4400685640SA,OU=DEVICES,OU=FSR,OU=STAGE,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,True,False,False,False,0.0,-1.0,2025-03-16T21:35:31.048103438Z,False,False,4400685640SA@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-1109,False,False,False,1742158754.0,False,4400685640SA,False,[],[],False,,False,False,False,512.0,1742158754.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],,4400685640SA,,,0.0,0.5292740046838408,0.0,1.0,0.0,0.0,233.0,1.529274004683841,0.05153004090146335,0.025571181169074895
10,0.0,0.0,0.0,242.0,0.0,1.0,5.0,False,Created with secframe.com/badblood.,"CN=SUNG_BURNETT,OU=GROUPS,OU=SEC,OU=STAGE,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,True,False,False,False,0.0,-1.0,2025-03-16T21:35:31.048103438Z,False,False,SUNG_BURNETT@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-1110,False,False,False,1742158755.0,False,SUNG_BURNETT,False,[],[],False,,False,False,False,512.0,1742158755.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],,SUNG_BURNETT,,,0.0,0.550351288056206,0.0,1.0,0.0,0.0,242.0,1.550351288056206,0.05224025586028902,0.026558909197064915
11,0.0,0.0,0.0,209.0,0.0,1.0,15.0,False,Created with secframe.com/badblood.,"CN=JULIET_LYNCH,OU=T0-SERVERS,OU=TIER 0,OU=ADMIN,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,True,False,False,False,0.0,-1.0,2025-03-16T21:35:40.117Z,False,False,JULIET_LYNCH@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-1111,False,False,False,1742158755.0,False,JULIET_LYNCH,False,[],[],False,,False,False,False,512.0,1742158755.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],,JULIET_LYNCH,,,0.0,0.47306791569086654,0.0,1.0,0.0,0.0,209.0,1.4730679156908666,0.049636134344594865,0.022937239761101513
